id,lat,lon
0,3101.656179,12126.064927
1,3101.644436,12126.070117
3,3101.629001,12126.076970
4,3101.620028,12126.081257
5,3101.610893,12126.085370
6,3101.598726,12126.090653
7,3101.589533,12126.094014
8,3101.580091,12126.098384
9,3101.567819,12126.103295
10,3101.558127,12126.107397
